Teacher,Gradebook,Department,Student ID,Student Name,Grade Level,Team,Counselor,Full Year Average,Full Year Letter Grade,FG Average,FG Letter Grade
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,13,"Spears, Britney",09,,"Petzold, Alexa",0%,A,92.84,A
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,24,"Winfrey, Oprah",09,,"Petzold, Alexa",0%,B-,78.83,C+
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,30,"Tendulkar, Sachin",09,,"Petzold, Alexa",0%,A,95.17,A
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,54,"Sehwag, Virender",09,,"Petzold, Alexa",0%,B+,87.15,B+
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,63,"Piqué, Gerard",09,,"Casamento, Steven P",0%,B,85.25,B
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,84,"Kutcher, Ashton",09,,"Casamento, Steven P",0%,B-,82.29,B-
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,89,"Aguilera, Christina",09,,"Schneider, Cristina",0%,B+,86.77,B+
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,140,"Akhtar, Farhan",09,,"Donnelly, Marin",0%,B+,84.9,B
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,181,"Marquezine, Bruna",09,,"Schneider, Cristina",0%,A-,90.33,A-
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, ABD, Per. 3 (FY)",Fine Arts,182,"AlAbdullah, Rania",09,,"Schneider, Cristina",0%,A,91.62,A-
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,1,"Bieber, Justin",09,,"Petzold, Alexa",0%,A,94.21,A
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,49,"Prancer, Pitbull",09,,"Petzold, Alexa",0%,A-,90.52,A-
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,70,"Kher, Anupam",09,,"Casamento, Steven P",0%,B+,88.03,B+
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,75,"Rodríguez, James",09,,"Casamento, Steven P",0%,A-,90.75,A-
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,97,"O'Neill, Shaq",09,,"Casamento, Steven P",0%,A-,90.95,A-
