Teacher,Gradebook,Department,Student ID,Student Name,Grade Level,Team,Counselor,Full Year Average,Full Year Letter Grade,FG Average,FG Letter Grade
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,102,"Kapoor, Shaandaar",09,,"Casamento, Steven P",0%,B,83.87,B
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,111,"Seacrest, Ryan",09,,"Casamento, Steven P",0%,A,93.17,A
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,149,"Raymond, Usher",09,,"Donnelly, Marin",0%,A,92.22,A-
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,155,"Santana, Luan",09,,"Donnelly, Marin",0%,A,95.12,A
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, ABC, Per. 1 (FY)",Fine Arts,180,"Arjona, Ricardo",09,,"Schneider, Cristina",0%,A-,90.28,A-
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,15,"Shakira, Shakira",09,,"Petzold, Alexa",0%,B,83.62,B
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,23,"Khan, Salman",09,,"Petzold, Alexa",0%,A-,90.23,A-
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,55,"Mathers, Marshall",09,,"Petzold, Alexa",0%,A-,90.19,A-
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,69,"Sanz, Alejandro",09,,"Casamento, Steven P",0%,A+,97.5,A+
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,99,"Bachchan, Abhishek",09,,"Casamento, Steven P",0%,B+,85.72,B
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,121,"Chopra, Parineeti",09,,"Donnelly, Marin",0%,A-,92.03,A-
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,138,"Federer, Roger",09,,"Donnelly, Marin",0%,B,82.13,B-
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,146,"Puyol, Carles",09,,"Donnelly, Marin",0%,B,84.92,B
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,179,"Balvin, Jack",09,,"Schneider, Cristina",0%,B+,86.69,B+
"Dinkey, John T","AR6412/1 - Studio Art I, BCD, Per. 8 (FY)",Fine Arts,183,"Dixit-Nene, Madhuri",09,,"Schneider, Cristina",0%,A+,98.05,A+
"Gamgort, Corin C","BU2401/1 - Financial Literacy, ABD, Per. 3 (S1)",Business,176,"Williams, Serena",09,,"Schneider, Cristina",0%,B,85.42,B
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,7,"Degeneres, Ellen",09,,"Petzold, Alexa",0%,B+,87.05,B+
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,17,"James, Lebron",09,,"Petzold, Alexa",0%,A,93.66,A
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,67,"Raina, Suresh",09,,"Casamento, Steven P",0%,B,84.16,B
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,74,"Ramos, Sergio",09,,"Casamento, Steven P",0%,A-,90.91,A-
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,88,"Hilton, Paris",09,,"Casamento, Steven P",0%,A,95.59,A
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,115,"Lima, Gusttavo",09,,"Casamento, Steven P",0%,A-,89.53,A-
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,129,"Rowling, J.K.",09,,"Donnelly, Marin",0%,A,93.53,A
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,185,"Tinelli, Marcelo",09,,"Schneider, Cristina",0%,A,96.69,A
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,187,"Osteen, Joel",09,,"Schneider, Cristina",0%,A,94.63,A
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,188,"Clifford, Michael",09,,"Schneider, Cristina",0%,A,93.94,A
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,196,"Kroos, Toni",09,,"Schneider, Cristina",0%,A,96.14,A
"Gamgort, Corin C","BU2401/2 - Financial Literacy, ACD, Per. 5 (S1)",Business,201,"Delevingne, Cara",09,,"Schneider, Cristina",0%,B+,87.88,B+
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,2,"Perry, Katy",09,,"Petzold, Alexa",0%,A-,90.8,A-
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,19,"Bachchan, Amitabh",09,,"Petzold, Alexa",0%,A,95.87,A
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,47,"Harris, Neil",09,,"Petzold, Alexa",0%,B+,87.33,B+
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,51,"Tosh, Daniel",09,,"Petzold, Alexa",0%,B+,88.98,B+
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,60,"Lavigne, Avril",09,,"Petzold, Alexa",0%,C+,78.35,C+
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,139,"Branson, Richard",09,,"Donnelly, Marin",0%,A,94.21,A
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,143,"Tisdale, Ashley",09,,"Donnelly, Marin",0%,A,97.25,A
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,160,"Kaling, Mindy",09,,"Donnelly, Marin",0%,A-,92.01,A-
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,164,"Smith, Ludacris",09,,"Donnelly, Marin",0%,A,92.84,A
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,173,"Corden, James",09,,"Schneider, Cristina",0%,A-,90.63,A-
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,184,"Sheen, Charlie",09,,"Schneider, Cristina",0%,A-,89.53,A-
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,199,"Jepsen, CarlyRae",09,,"Schneider, Cristina",0%,A-,90.08,A-
"Gamgort, Corin C","BU2401/3 - Financial Literacy, BCD, Per. 7 (S1)",Business,203,"Alves, Daniel",09,,"Schneider, Cristina",0%,A,96.14,A
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,4,"Ronaldo, Cristiano",09,,"Petzold, Alexa",0%,A-,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,32,"Crowe, Cameron",09,,"Petzold, Alexa",0%,B,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,65,"Guetta, David",09,,"Casamento, Steven P",0%,A+,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,73,"Colbert, Stephen",09,,"Casamento, Steven P",0%,A,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,76,"Carrey, Jim",09,,"Casamento, Steven P",0%,A+,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,78,"Sheeran, Ed",09,,"Casamento, Steven P",0%,A,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,81,"Downey, Robert",09,,"Casamento, Steven P",0%,A,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,92,"Weeknd, The",09,,"Casamento, Steven P",0%,A,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,93,"Curry, Stephen",09,,"Casamento, Steven P",0%,A,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,95,"Fernandez, Jacqueline",09,,"Casamento, Steven P",0%,A,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,98,"Dika, Raditya",09,,"Casamento, Steven P",0%,A,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,105,"Yılmaz, Cem",09,,"Casamento, Steven P",0%,A-,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,110,"Bryant, Kobe",09,,"Casamento, Steven P",0%,A-,0,F
"Gamgort, Corin C","BU2401/5 - Financial Literacy, BCD, Per. 7 (S2)",Business,172,"Maher, Bill",09,,"Schneider, Cristina",0%,A,0,F
"Gamgort, Corin C","BU2401/6 - Financial Literacy, ACD, Per. 6 (S2)",Business,108,"Yankee, Daddy",09,,"Casamento, Steven P",0%,A,0,F
"Gamgort, Corin C","BU2401/6 - Financial Literacy, ACD, Per. 6 (S2)",Business,167,"Anthony, Marc",09,,"Donnelly, Marin",0%,B,0,F
"Gamgort, Corin C","BU3403/1 - Principles of Business, ABD, Per. 3 (S2)",Business,160,"Kaling, Mindy",09,,"Donnelly, Marin",0%,A,0,F
"Gamgort, Corin C","BU3403/1 - Principles of Business, ABD, Per. 3 (S2)",Business,176,"Williams, Serena",09,,"Schneider, Cristina",0%,B,0,F
"Gamgort, Corin C","BU3403/1 - Principles of Business, ABD, Per. 3 (S2)",Business,202,"VanPersie, Robin",09,,"Donnelly, Marin",0%,A,0,F
"Gamgort, Corin C","BU3403/1 - Principles of Business, ABD, Per. 3 (S2)",Business,208,"Andriana, Raisa",09,,"Schneider, Cristina",0%,A,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,17,"James, Lebron",09,,"Petzold, Alexa",0%,B-,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,74,"Ramos, Sergio",09,,"Casamento, Steven P",0%,A-,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,88,"Hilton, Paris",09,,"Casamento, Steven P",0%,A,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,115,"Lima, Gusttavo",09,,"Casamento, Steven P",0%,B-,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,129,"Rowling, J.K.",09,,"Donnelly, Marin",0%,A-,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,184,"Sheen, Charlie",09,,"Schneider, Cristina",0%,A-,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,185,"Tinelli, Marcelo",09,,"Schneider, Cristina",0%,A,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,187,"Osteen, Joel",09,,"Schneider, Cristina",0%,A,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,188,"Clifford, Michael",09,,"Schneider, Cristina",0%,A,0,F
"Gamgort, Corin C","BU3403/2 - Principles of Business, ACD, Per. 5 (S2)",Business,201,"Delevingne, Cara",09,,"Schneider, Cristina",0%,A-,0,F
"Forte, Marcia A","CC8143/1 - Study Skills 9-12, ABD, Per. 3 (FY)",Special Ed,32,"Crowe, Cameron",09,,"Petzold, Alexa",0%,A+,96.44,A
"Forte, Marcia A","CC8143/1 - Study Skills 9-12, ABD, Per. 3 (FY)",Special Ed,103,"Knowles, Beyoncé",09,,"Casamento, Steven P",0%,B-,80.59,B-
"Forte, Marcia A","CC8143/1 - Study Skills 9-12, ABD, Per. 3 (FY)",Special Ed,119,"Leitte, Claudia",09,,"Casamento, Steven P",0%,A+,97.15,A
"Lampert, Evan M","CC8143/2 - Study Skills 9-12, ABC, Per. 1 (FY)",Special Ed,55,"Mathers, Marshall",09,,"Petzold, Alexa",0%,A,95.28,A
"Lampert, Evan M","CC8143/2 - Study Skills 9-12, ABC, Per. 1 (FY)",Special Ed,84,"Kutcher, Ashton",09,,"Casamento, Steven P",0%,A-,89.72,A-
"Lampert, Evan M","CC8143/2 - Study Skills 9-12, ABC, Per. 1 (FY)",Special Ed,132,"Macfarlane, Seth",09,,"Donnelly, Marin",0%,A+,99.72,A+
"Lampert, Evan M","CC8143/2 - Study Skills 9-12, ABC, Per. 1 (FY)",Special Ed,186,"Hemmings, Luke",09,,"Schneider, Cristina",0%,A-,91.56,A-
"Lampert, Evan M","CC8143/2 - Study Skills 9-12, ABC, Per. 1 (FY)",Special Ed,207,"Montaner, Ricardo",09,,"Schneider, Cristina",0%,B+,86.39,B
"Lampert, Evan M","CC8143/3 - Study Skills 9-12, BCD, Per. 7 (FY)",Special Ed,34,"Wayne, Lil",09,,"Petzold, Alexa",0%,B,83.75,B
"Lampert, Evan M","CC8143/3 - Study Skills 9-12, BCD, Per. 7 (FY)",Special Ed,86,"Sangalo, Ivete",09,,"Casamento, Steven P",0%,A+,97.78,A+
"Lampert, Evan M","CC8143/3 - Study Skills 9-12, BCD, Per. 7 (FY)",Special Ed,87,"Suarez, Luis",09,,"Casamento, Steven P",0%,B+,86.39,B
"Lampert, Evan M","CC8143/3 - Study Skills 9-12, BCD, Per. 7 (FY)",Special Ed,112,"Benzema, Karim",09,,"Casamento, Steven P",0%,A-,90.84,A-
"Apanosian, Vani","CC8143/4 - Study Skills 9-12, ABD, Per. 4 (FY)",Special Ed,89,"Aguilera, Christina",09,,"Schneider, Cristina",0%,A-,94.44,A
"Apanosian, Vani","CC8143/4 - Study Skills 9-12, ABD, Per. 4 (FY)",Special Ed,152,"Kimmel, Jimmy",09,,"Donnelly, Marin",0%,A-,88.76,B+
"Apanosian, Vani","CC8144/1 - Gen Ed Study Skills 9/10/11/12, ACD, Per. 5 (FY)",Special Ed,171,"Brand, Russell",09,,"Schneider, Cristina",0%,A,95.03,A
"Kornitzer, Jamie","CC8145/2 - RISE Study Skills, ACD, Per. 6 (FY)",Special Ed,44,"Mendes, Shawn",09,,"Petzold, Alexa",0%,A,93.64,A
"Kornitzer, Jamie","CC8145/2 - RISE Study Skills, ACD, Per. 6 (FY)",Special Ed,136,"Kapoor, Sonam",09,,"Donnelly, Marin",0%,A,95.28,A
"Kornitzer, Jamie","CC8145/2 - RISE Study Skills, ACD, Per. 6 (FY)",Special Ed,139,"Branson, Richard",09,,"Donnelly, Marin",0%,A,95.88,A
"Gorman, Christine P","EN1201/1 - English as a Second Language, ABD, Per. 3 (FY)",World Languages,151,"Harris, Calvin",09,,"Donnelly, Marin",0%,F,0,F
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,22,"Kumar, Akshay",09,,"Petzold, Alexa",0%,B,82.31,B-
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,23,"Khan, Salman",09,,"Petzold, Alexa",0%,A-,89.48,B+
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,28,"Jenner, Kylie",09,,"Petzold, Alexa",0%,A,92.71,A
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,38,"Tate, Andrew",09,,"Petzold, Alexa",0%,A-,91.88,A-
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,53,"Sharma, Anushka",09,,"Petzold, Alexa",0%,A-,91.38,A-
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,57,"Obama, Michelle",09,,"Petzold, Alexa",0%,B,85.53,B
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,66,"Dogg, Snoop",09,,"Casamento, Steven P",0%,A-,91.69,A-
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,74,"Ramos, Sergio",09,,"Casamento, Steven P",0%,A,91.48,A-
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,102,"Kapoor, Shaandaar",09,,"Casamento, Steven P",0%,A,93.36,A
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,118,"Degrasse-Tyson, Neil",09,,"Casamento, Steven P",0%,A,94.5,A
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,173,"Corden, James",09,,"Schneider, Cristina",0%,A-,90.91,A-
Bucco / Apanosian,"EN1400/1 - English I, ACD, Per. 6 (FY)",English,201,"Delevingne, Cara",09,,"Schneider, Cristina",0%,A-,90.61,A-
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,4,"Ronaldo, Cristiano",09,,"Petzold, Alexa",0%,A-,91.51,A-
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,31,"Hart, Kevin",09,,"Petzold, Alexa",0%,C+,76.11,C
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,33,"Tomlinson, Louis",09,,"Petzold, Alexa",0%,A,94.52,A
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,46,"Özil, Mesut",09,,"Petzold, Alexa",0%,A,93.96,A
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,49,"Prancer, Pitbull",09,,"Petzold, Alexa",0%,A,96.35,A
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,56,"Carey, Mariah",09,,"Petzold, Alexa",0%,A,94.6,A
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,70,"Kher, Anupam",09,,"Casamento, Steven P",0%,A-,90.74,A-
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,75,"Rodríguez, James",09,,"Casamento, Steven P",0%,A-,91.49,A-
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,82,"Falcao, Radamel",09,,"Casamento, Steven P",0%,A,95.81,A
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,100,"Evans, Chris",09,,"Casamento, Steven P",0%,C,71.19,C-
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,130,"DeGea, David",09,,"Donnelly, Marin",0%,A,94.02,A
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,131,"Legend, John",09,,"Donnelly, Marin",0%,C,71.2,C-
Bucco / Kornitzer,"EN1400/2 - English I, BCD, Per. 8 (FY)",English,172,"Maher, Bill",09,,"Schneider, Cristina",0%,B+,87.13,B+
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,7,"Degeneres, Ellen",09,,"Petzold, Alexa",0%,B-,75.39,C
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,12,"Neymar, Rinaldo",09,,"Petzold, Alexa",0%,A-,88.8,B+
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,19,"Bachchan, Amitabh",09,,"Petzold, Alexa",0%,A,93.13,A
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,24,"Winfrey, Oprah",09,,"Petzold, Alexa",0%,B-,79.14,C+
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,51,"Tosh, Daniel",09,,"Petzold, Alexa",0%,B+,83.66,B
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,54,"Sehwag, Virender",09,,"Petzold, Alexa",0%,A,95.86,A
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,64,"Martin, Ricky",09,,"Casamento, Steven P",0%,B-,79.52,B-
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,73,"Colbert, Stephen",09,,"Casamento, Steven P",0%,A-,88.06,B+
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,85,"Gentili, Danilo",09,,"Casamento, Steven P",0%,A,93.4,A
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,101,"Ajram, Nancy",09,,"Casamento, Steven P",0%,A-,90.59,A-
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,105,"Yılmaz, Cem",09,,"Casamento, Steven P",0%,B-,81.93,B-
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,115,"Lima, Gusttavo",09,,"Casamento, Steven P",0%,B-,82.67,B
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,117,"Jackman, Hugh",09,,"Casamento, Steven P",0%,A-,90.51,A-
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,121,"Chopra, Parineeti",09,,"Donnelly, Marin",0%,A,91.38,A-
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,138,"Federer, Roger",09,,"Donnelly, Marin",0%,B,82.04,B-
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,146,"Puyol, Carles",09,,"Donnelly, Marin",0%,A-,87.84,B+
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,153,"Mix, Little",09,,"Donnelly, Marin",0%,A,94.69,A
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,154,"Beckham, Victoria",09,,"Donnelly, Marin",0%,A,92.77,A
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,176,"Williams, Serena",09,,"Schneider, Cristina",0%,B+,87.19,B+
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,177,"Williams, Pharrell",09,,"Schneider, Cristina",0%,B,84.66,B
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,179,"Balvin, Jack",09,,"Schneider, Cristina",0%,B+,88.6,B+
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,184,"Sheen, Charlie",09,,"Schneider, Cristina",0%,B-,79.22,C+
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,192,"Jonas, Joe",09,,"Schneider, Cristina",0%,B+,85.57,B
"Pfleging, Alexandra","EN1400/4 - English I, ABC, Per. 1 (FY)",English,194,"Bisbal, David",09,,"Schneider, Cristina",0%,C+,73.88,C
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,1,"Bieber, Justin",09,,"Petzold, Alexa",0%,A-,90.09,A-
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,11,"Gates, Bill",09,,"Petzold, Alexa",0%,B-,82.29,B-
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,15,"Shakira, Shakira",09,,"Petzold, Alexa",0%,A-,92.13,A-
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,45,"Kardashian, Kourtney",09,,"Petzold, Alexa",0%,B-,80.44,B-
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,47,"Harris, Neil",09,,"Petzold, Alexa",0%,B,83.56,B
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,50,"Minaj, Nicki",09,,"Petzold, Alexa",0%,B,83.49,B
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,55,"Mathers, Marshall",09,,"Petzold, Alexa",0%,A,93.58,A
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,68,"Shelton, Blake",09,,"Casamento, Steven P",0%,A-,91.54,A-
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,83,"Rooney, Wayne",09,,"Casamento, Steven P",0%,A-,89.22,B+
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,96,"Nadal, Rafa",09,,"Casamento, Steven P",0%,A,94.5,A
"Pfleging, Alexandra","EN1400/6 - English I, ACD, Per. 5 (FY)",English,97,"O'Neill, Shaq",09,,"Casamento, Steven P",0%,A,94.24,A
